label,sonar_r,n_gaussians,n_anisotropic,frac_anisotropic,frac_disc_like_of_anisotropic,frac_streak_like_of_anisotropic,frac_streak_like_of_all,mean_minor_angle_deg,mean_major_angle_deg
ps117_39_vanilla_colmap,0.663,144421,30332,0.2100248578807791,0.1517539232493736,0.18600817618356852,0.0390663407676169,58.634059569548846,55.0462449217586
ps117_39_da3_depthreg,0.835,127767,34605,0.27084458428232644,0.1016616095939893,0.25947117468573905,0.0702763624410059,60.91429265591006,48.56015503686721
ps117_39_mast3r_seeded,0.462,686494,90701,0.13212205787668937,0.14800277835966527,0.33361263933142965,0.04407758844214225,59.19646467479796,46.27639347325402
ps117_39_mast3r_seeded_depthreg,0.476,708496,97404,0.13747995754386758,0.1742022914870026,0.4995688062091906,0.06868069826788013,61.32994769459415,37.28622413308329
ps117_39_colmap_mast3r_fused,0.676,168569,41213,0.24448742058148296,0.13692281561643171,0.22051294494455634,0.05391264111432114,57.4315515138244,51.03015168124046
ps117_39_da3_texconf_gated,0.802,124328,31733,0.2552361495399266,0.1250748432231431,0.2607380329625311,0.06654977157197091,60.6035237623048,49.63433761671091
ps117_39_da3_texconf_sonar,0.912,143707,42201,0.2936600165614758,0.13222435487310727,0.25693703940664914,0.07545213524741314,59.15609376976382,49.088056625337096
ps117_39_da3_texconf_calibrated_sonar,0.942,143902,41699,0.2897735959194452,0.1348473584498429,0.2846111417539989,0.0824727939847952,59.66955590608703,48.32689128048184
ps117_39_da3_texconf_floor_sonar,0.813,149145,45070,0.30218914479198095,0.1196361215886399,0.24541823829598403,0.074162727547018,59.6640544234978,49.654283847251705
ps117_39_selfdiag_sonar,0.948,152049,48131,0.31654927030102137,0.1201720305000935,0.28960545178782904,0.09167439443863491,60.96492193650247,47.16487565780426
ps117_39_selfdiag_sonar_30k,0.973,172124,86513,0.5026202040389487,0.093731577913146,0.2736351762162912,0.13753456810206596,62.48431404445771,48.873677342932424
ps117_29_vanilla_colmap,-0.53,51012,5112,0.10021171489061398,0.19307511737089203,0.13360719874804383,0.013389006508272563,52.66210052264878,58.439057020349914
ps117_29_da3_texconf_gated_colmap,-0.771,50144,5560,0.1108806636885769,0.17553956834532375,0.16276978417266186,0.018048021697511168,52.909586024751135,56.23981319387486
ps117_29_mast3r_seeded_vanilla,-0.306,517814,9997,0.019306160126995407,0.09002700810243074,0.2932879863959188,0.005662264828683658,60.35605504413644,46.14370009039897
ps117_29_mast3r_depthreg,-0.14,599476,38148,0.0636355750688935,0.1767589388696655,0.17439970640662683,0.011098025609031888,55.890544299944345,55.419496250547404
ps117_29_mast3r_texconf_gated_7k,-0.021,516276,10456,0.020252733034268493,0.09372609028309105,0.33827467482785006,0.006850986681542431,60.54242662058671,43.44709319440451
ps117_29_mast3r_texconf_gated_30k,-0.146,409447,143234,0.3498230540216438,0.07554770515380427,0.3278132287026823,0.11467662481346792,63.97461658256781,44.54766339030602
