label,sonar_r,needle_fraction,median_ratio,n_gaussians
ps117_39_vanilla_colmap,0.663,0.2100248578807791,4.00063943862915,144421
ps117_39_da3_depthreg,0.835,0.27084458428232644,4.611875057220459,127767
ps117_39_mast3r_seeded,0.462,0.13212205787668937,2.058957099914551,686494
ps117_39_mast3r_seeded_depthreg,0.476,0.13747995754386758,2.05705189704895,708496
ps117_39_colmap_mast3r_fused,0.676,0.24448742058148296,4.038778781890869,168569
ps117_39_da3_texconf_gated,0.802,0.2552361495399266,4.5458149909973145,124328
ps117_39_da3_texconf_sonar,0.912,0.2936600165614758,4.818943977355957,143707
ps117_39_da3_texconf_calibrated_sonar,0.942,0.2897735959194452,4.790284156799316,143902
ps117_39_da3_texconf_floor_sonar,0.813,0.30218914479198095,5.015439987182617,149145
ps117_39_selfdiag_sonar,0.948,0.31654927030102137,5.149744033813477,152049
ps117_39_selfdiag_sonar_30k,0.973,0.5026202040389487,10.101213455200195,172124
ps117_29_vanilla_colmap,-0.53,0.10021171489061398,3.3505873680114746,51012
ps117_29_da3_texconf_gated_colmap,-0.771,0.1108806636885769,3.501713752746582,50144
ps117_29_mast3r_seeded_vanilla,-0.306,0.019306160126995407,1.6417262554168701,517814
ps117_29_mast3r_depthreg,-0.14,0.0636355750688935,1.6434828042984009,599476
ps117_29_mast3r_texconf_gated_7k,-0.021,0.020252733034268493,1.645747184753418,516276
ps117_29_mast3r_texconf_gated_30k,-0.146,0.3498230540216438,6.228445529937744,409447
