t_mid_s,n_frames,B_m,Z_m,bz_ratio,resid_sonar_m,resid_nosonar_m,improvement_m
31.9,20,4.583213616982832,0.9920500000000001,4.619942157132031,0.22474958148438487,0.3212227358860895,0.09647315440170465
33.9,20,3.8368956531644165,0.93115,4.120598886499937,0.2580864548452571,0.3351112209900096,0.07702476614475251
35.9,20,3.363255562745794,0.6983999999999999,4.815658022259156,0.12534654077004642,0.20092503021016714,0.07557848944012072
37.92,20,4.11144452311044,0.3885,10.582868785355057,0.09779374624721704,0.2942535249826312,0.19645977873541415
40.12,20,3.8789243080547338,0.17040000000000002,22.763640305485524,0.20837744924750182,0.5561889416460694,0.34781149239856757
42.3,20,3.718351072768907,0.11735,31.685991246432955,0.3319662844601273,0.607959581227675,0.2759932967675477
44.3,20,2.2651393544510814,0.22014999999999998,10.28907269793814,0.28559080477062604,0.5362836180850863,0.25069281331446025
46.3,20,2.014584757406818,0.5290000000000001,3.808288766364494,0.13159111537568266,0.356478341692239,0.22488722631655636
48.3,20,2.2550877043746,1.0066000000000002,2.2403017130683485,0.14717864557329566,0.3534003664193303,0.20622172084603466
50.3,20,2.2304039402896683,1.35075,1.6512337148174485,0.1823047334463149,0.5464014918955417,0.36409675844922673
52.3,20,2.348535445238918,1.4419499999999998,1.6287218317132484,0.09125920268118383,0.5822045511078835,0.4909453484266997
54.3,20,2.34414156974334,1.41225,1.6598630339836007,0.06361962802715601,0.4883870524297655,0.4247674244026095
56.3,20,3.063071736104112,1.3535,2.2630747957917343,0.07438357839204372,0.39292027743317187,0.31853669904112814
58.3,20,2.8407037355972222,1.4449999999999998,1.9658849381295658,0.07292880535513166,0.43058384273074574,0.3576550373756141
60.3,20,3.359196707874561,1.71035,1.964040522626691,0.06317575979843738,0.5547683826482297,0.4915926228497923
62.3,20,3.2372222413605973,2.0614,1.5703998454257289,0.14749774714589123,0.6996679514009505,0.5521702042550592
64.3,20,2.7946274252529038,2.51245,1.112311658044102,0.2787652251057327,0.6598504159791769,0.3810851908734442
66.3,20,1.9100890379223803,2.8002999999999996,0.6821015740893406,0.28113554618611936,0.46775534518942247,0.1866197990033031
68.3,20,1.5099434224523456,2.735550000000001,0.5519706905201313,0.17643584700033085,0.3521117346821726,0.17567588768184175
70.3,20,1.182234759090767,2.5102000000000007,0.4709723365033729,0.08145883372068415,0.6182958954344688,0.5368370617137846
72.3,20,0.873179679341895,2.2492,0.38821789051302463,0.18162308968976143,0.8283847103920576,0.6467616207022961
74.3,20,0.6434727231954819,2.0233,0.3180312969878327,0.2638270804148912,0.6578220303124187,0.3939949498975275
76.3,20,1.2367267975916567,2.0409499999999996,0.6059564406730478,0.16912204894363875,0.42062356988146893,0.2515015209378302
78.3,20,1.853957333734536,2.2104999999999997,0.8387049688914437,0.1413580620054901,0.21302676268428572,0.07166870067879563
80.3,20,1.9152180761997166,2.13915,0.8953173345486369,0.13133425180971625,0.16533987245336182,0.03400562064364557
82.3,20,2.4347891715877736,1.7770999999999997,1.370091256309591,0.06191781497672198,0.16966853685200206,0.10775072187528008
84.3,20,3.256858656188813,1.4990500000000002,2.172615093685209,0.05454831614688036,0.23480303018622095,0.1802547140393406
86.3,20,3.0881113494288384,1.5307499999999998,2.0173845170203095,0.10739627096250651,0.4248651637805253,0.3174688928180188
