name,split,t_s,sonar_m,pred_m,residual_m,abs_residual_m,psnr_db,render_ms
f000750,test,30.0,0.941,0.6674454163741497,-0.2735545836258503,0.2735545836258503,32.31315612792969,8.508443832397461
f000755,train,30.2,0.944,0.9763961272021396,0.03239612720213969,0.03239612720213969,34.807273864746094,7.509708404541016
f000760,train,30.4,0.948,0.9467953855153927,-0.0012046144846072915,0.0012046144846072915,35.74182891845703,6.002902984619141
f000765,train,30.6,0.957,0.9474416656487981,-0.009558334351201903,0.009558334351201903,35.49234390258789,6.502866744995117
f000770,train,30.8,0.973,0.9859085629157004,0.012908562915700417,0.012908562915700417,36.54859924316406,6.53529167175293
f000775,train,31.0,0.973,0.9576514983716258,-0.0153485016283742,0.0153485016283742,37.11113357543945,6.521940231323242
f000780,train,31.2,0.984,0.9800773250647271,-0.003922674935272874,0.003922674935272874,36.0347785949707,6.516933441162109
f000785,train,31.4,1.001,0.9898206869402968,-0.0111793130597031,0.0111793130597031,35.81520462036133,6.130695343017578
f000790,test,31.6,1.011,0.7068861175242356,-0.3041138824757643,0.3041138824757643,33.36415100097656,6.512165069580078
f000795,train,31.8,1.033,1.042068709595509,0.009068709595509095,0.009068709595509095,33.922828674316406,6.514787673950195
f000800,train,32.0,1.033,0.8875322174586229,-0.14546778254137704,0.14546778254137704,34.83219528198242,7.8144073486328125
f000805,train,32.2,1.024,1.0227770597412262,-0.0012229402587737859,0.0012229402587737859,35.230045318603516,7.016181945800781
f000810,train,32.4,1.03,1.034281957692622,0.004281957692622074,0.004281957692622074,34.26505661010742,8.071422576904297
f000815,train,32.6,1.01,1.0439785863754054,0.033978586375405406,0.033978586375405406,35.43643569946289,7.095575332641602
f000820,train,32.8,1.02,0.972930669170907,-0.04706933082909304,0.04706933082909304,35.87626266479492,7.551431655883789
f000825,train,33.0,1.02,0.9985514963054983,-0.021448503694501686,0.021448503694501686,35.232601165771484,7.01451301574707
f000830,test,33.2,1.012,0.6978903301731356,-0.3141096698268644,0.3141096698268644,35.3966064453125,7.578372955322266
f000835,train,33.4,0.989,0.9267585878183425,-0.06224141218165746,0.06224141218165746,36.25019454956055,7.008790969848633
f000840,train,33.6,0.976,0.9360127776307278,-0.03998722236927221,0.03998722236927221,35.47958755493164,7.534503936767578
f000845,train,33.8,0.962,0.946891748262997,-0.01510825173700292,0.01510825173700292,36.082340240478516,6.516218185424805
f000850,train,34.0,0.962,0.8292160032261997,-0.13278399677380026,0.13278399677380026,36.09138870239258,7.518768310546875
f000855,train,34.2,0.94,0.9158494793649297,-0.024150520635070283,0.024150520635070283,35.22951126098633,7.007122039794922
f000860,train,34.4,0.918,0.8514458949418406,-0.0665541050581594,0.0665541050581594,35.93450164794922,7.005214691162109
f000865,train,34.6,0.924,0.8547122085133612,-0.06928779148663888,0.06928779148663888,35.66643142700195,6.500005722045898
f000870,test,34.8,0.879,0.5992931175411061,-0.27970688245889386,0.27970688245889386,34.81452178955078,8.033514022827148
f000875,train,35.0,0.879,0.8922070240582882,0.01320702405828822,0.01320702405828822,36.21992111206055,6.50334358215332
f000880,train,35.2,0.823,0.822826785143769,-0.00017321485623100763,0.00017321485623100763,36.523746490478516,7.312536239624023
f000885,train,35.4,0.786,0.8120754892810714,0.026075489281071396,0.026075489281071396,36.50514602661133,6.510257720947266
f000890,train,35.6,0.745,0.7373473135746444,-0.007652686425355548,0.007652686425355548,37.422889709472656,6.648778915405273
f000895,train,35.8,0.691,0.7318628563669592,0.0408628563669593,0.0408628563669593,36.88158416748047,7.043361663818359
f000900,train,36.0,0.691,0.6738874734936503,-0.017112526506349646,0.017112526506349646,35.87836456298828,6.9980621337890625
f000905,train,36.2,0.652,0.6628191434085338,0.010819143408533738,0.010819143408533738,35.6668701171875,7.009983062744141
f000910,test,36.4,0.619,0.6186374498723491,-0.00036255012765085137,0.00036255012765085137,35.05990219116211,8.0108642578125
f000915,train,36.6,0.582,0.5969512131381157,0.01495121313811576,0.01495121313811576,36.08330535888672,8.356094360351562
f000920,train,36.8,0.547,0.5734257473735497,0.026425747373549635,0.026425747373549635,36.65186309814453,8.050918579101562
f000925,train,37.0,0.547,0.5694954232361847,0.022495423236184697,0.022495423236184697,36.627418518066406,7.516145706176758
f000930,train,37.2,0.503,0.4862704955287619,-0.01672950447123811,0.01672950447123811,35.92074966430664,7.5321197509765625
f000935,train,37.4,0.466,0.4232906687445267,-0.042709331255473326,0.042709331255473326,37.116275787353516,8.51130485534668
f000940,train,37.6,0.426,0.37894799227540266,-0.04705200772459733,0.04705200772459733,37.17171096801758,8.296966552734375
f000945,train,37.8,0.388,0.3430366256813628,-0.04496337431863723,0.04496337431863723,36.29248809814453,7.7114105224609375
f000950,test,38.0,0.388,0.6294384535699198,0.24143845356991978,0.24143845356991978,37.007164001464844,8.506298065185547
f000955,train,38.2,0.349,0.3261476255526869,-0.022852374447313084,0.022852374447313084,37.10820770263672,8.579730987548828
f000960,train,38.4,0.31,0.2498465295627593,-0.0601534704372407,0.0601534704372407,36.066986083984375,7.300853729248047
f000965,train,38.6,0.269,0.24094158621539197,-0.02805841378460805,0.02805841378460805,36.899566650390625,7.790565490722656
f000970,train,38.8,0.238,0.23742209537625195,-0.0005779046237480434,0.0005779046237480434,36.81545639038086,8.527517318725586
f000975,train,39.0,0.238,0.25046732953828876,0.012467329538288774,0.012467329538288774,35.68418884277344,8.504390716552734
f000980,train,39.2,0.193,0.18786156399648066,-0.005138436003519348,0.005138436003519348,36.116424560546875,8.03828239440918
f000985,train,39.4,0.151,0.14840236918342034,-0.0025976308165796547,0.0025976308165796547,36.190330505371094,8.533000946044922
f000990,test,39.6,0.112,0.3180405125250468,0.2060405125250468,0.2060405125250468,35.69863510131836,8.004188537597656
f001005,train,40.2,0.101,0.10919423807649672,0.008194238076496718,0.008194238076496718,37.358158111572266,7.009029388427734
f001010,train,40.4,0.105,0.12070165077465689,0.015701650774656892,0.015701650774656892,38.56114959716797,7.52568244934082
f001015,train,40.6,0.109,0.12308158949933078,0.014081589499330777,0.014081589499330777,38.54696273803711,7.533788681030273
f001020,train,40.8,0.104,0.11280703874109935,0.008807038741099352,0.008807038741099352,37.82770538330078,7.467746734619141
f001025,train,41.0,0.104,0.11743432934742927,0.013434329347429275,0.013434329347429275,38.44565963745117,7.019519805908203
f001030,test,41.2,0.103,0.15755936452261768,0.054559364522617684,0.054559364522617684,38.18405532836914,7.333993911743164
f001035,train,41.4,0.103,0.10521733730645541,0.0022173373064554164,0.0022173373064554164,37.332706451416016,6.997823715209961
f001040,train,41.6,0.107,0.11606914475966804,0.009069144759668038,0.009069144759668038,38.10343933105469,7.876396179199219
f001045,train,41.8,0.108,0.1107695948267067,0.0027695948267067033,0.0027695948267067033,38.142051696777344,7.963418960571289
f001050,train,42.0,0.108,0.13241357990129796,0.024413579901297958,0.024413579901297958,37.08906936645508,7.007122039794922
f001055,train,42.2,0.108,0.13948719071887247,0.031487190718872474,0.031487190718872474,37.8110466003418,6.00433349609375
f001060,train,42.4,0.105,0.16232687427732,0.057326874277320014,0.057326874277320014,37.71177291870117,7.693290710449219
f001065,train,42.6,0.101,0.10072879809746815,-0.0002712019025318535,0.0002712019025318535,36.866336822509766,7.510185241699219
f001070,test,42.8,0.1,0.3241341842601336,0.22413418426013357,0.22413418426013357,37.414344787597656,8.040904998779297
