name,split,psnr
f023255,train,38.10133361816406
f023260,train,39.77248764038086
f023265,train,40.32777786254883
f023270,train,40.51231384277344
f023275,train,39.756248474121094
f023280,train,39.982051849365234
f023285,train,40.17404556274414
f023295,train,39.722320556640625
f023300,train,40.134742736816406
f023305,train,40.419124603271484
f023310,train,39.775970458984375
f023315,train,40.30681228637695
f023320,train,40.560035705566406
f023325,train,38.727725982666016
f023335,train,39.29245376586914
f023340,train,39.79893493652344
f023345,train,40.63104248046875
f023350,train,40.850257873535156
f023355,train,40.77943801879883
f023360,train,41.441036224365234
f023365,train,41.34138107299805
f023375,train,41.16037368774414
f023380,train,41.2919807434082
f023385,train,40.63801193237305
f023390,train,40.48766326904297
f023395,train,39.123905181884766
f023400,train,37.065399169921875
f023490,train,36.357295989990234
f023500,train,38.73463439941406
f023505,train,38.612361907958984
f023510,train,39.35821533203125
f023515,train,39.04850387573242
f023520,train,38.7254753112793
f023525,train,39.78102111816406
f023530,train,40.18952178955078
f023540,train,40.23775100708008
f023545,train,40.6615104675293
f023550,train,39.76199722290039
f023555,train,40.96162796020508
f023560,train,40.60489273071289
f023565,train,39.98102569580078
f023570,train,39.78520202636719
f023580,train,39.23804473876953
f023585,train,39.319862365722656
f023590,train,39.70066833496094
f023595,train,39.3179931640625
f023600,train,40.903907775878906
f023605,train,41.33998107910156
f023610,train,40.58708953857422
f023620,train,41.001224517822266
f023625,train,39.85689926147461
f023630,train,40.35445785522461
f023635,train,40.12712860107422
f023640,train,39.65296173095703
f023645,train,40.414344787597656
f023650,train,40.01401901245117
f023660,train,39.2122688293457
f023665,train,39.12425231933594
f023670,train,39.106178283691406
f023675,train,39.182735443115234
f023680,train,39.101898193359375
f023685,train,38.62079620361328
f023690,train,38.11539077758789
f023700,train,38.011070251464844
f023705,train,39.606048583984375
f023710,train,39.67537307739258
f023715,train,39.273372650146484
f023720,train,39.50116729736328
f023725,train,39.35483169555664
f023730,train,38.71800994873047
f023740,train,39.35419464111328
f023745,train,38.990081787109375
f023750,train,39.623600006103516
f023755,train,39.633766174316406
f023760,train,39.150291442871094
f023765,train,39.815948486328125
f023770,train,39.693511962890625
f023780,train,38.78478240966797
f023785,train,37.91827392578125
f023790,train,38.685420989990234
f023795,train,39.25198745727539
f023800,train,38.75556564331055
f023805,train,37.541229248046875
f023810,train,37.36481475830078
f023820,train,36.813751220703125
f023825,train,38.230220794677734
f023830,train,39.11298370361328
f023835,train,39.32005310058594
f023840,train,40.66295623779297
f023845,train,40.82295227050781
f023850,train,38.25139236450195
f023860,train,37.279579162597656
f023865,train,38.214134216308594
f023870,train,39.566646575927734
f023875,train,39.84922409057617
f023880,train,39.22490692138672
f023885,train,39.76416778564453
f023890,train,38.82807540893555
f023900,train,38.02424621582031
f023905,train,38.818687438964844
f023910,train,38.77192687988281
f023915,train,39.766422271728516
f023920,train,40.066749572753906
f023925,train,39.49324035644531
f023930,train,40.067752838134766
f023940,train,39.27109146118164
f023945,train,39.759376525878906
f023950,train,39.68895721435547
f023955,train,39.03836441040039
f023960,train,39.52882766723633
f023965,train,39.49892807006836
f023970,train,39.012611389160156
f023980,train,39.97328186035156
f023985,train,39.56196594238281
f023990,train,40.42423629760742
f023995,train,40.412879943847656
f024000,train,39.312171936035156
f024005,train,39.752132415771484
f024010,train,38.5272216796875
f024020,train,35.872928619384766
f024025,train,36.528900146484375
f024030,train,37.02552032470703
f024035,train,37.85944747924805
f024040,train,38.394981384277344
f024045,train,38.32440948486328
f024050,train,39.07857131958008
f024060,train,39.04784393310547
f024065,train,39.77818298339844
f024070,train,39.918521881103516
f024075,train,39.09117889404297
f024080,train,38.8210334777832
f024085,train,29.844318389892578
f024090,train,31.961448669433594
f024100,train,33.974571228027344
f024105,train,35.05316925048828
f024110,train,36.57947540283203
f024115,train,37.42115020751953
f024120,train,37.94164276123047
f024125,train,38.44284439086914
f024130,train,38.90840530395508
f024140,train,37.97502136230469
f024145,train,38.451927185058594
f024150,train,37.95486831665039
f024155,train,37.78791809082031
f024160,train,37.36274719238281
f024165,train,36.78658676147461
f024170,train,36.67884063720703
f024180,train,34.49048614501953
f024185,train,35.19943618774414
f024190,train,35.94530487060547
f024195,train,36.92881774902344
f024200,train,37.945552825927734
f024205,train,38.55326843261719
f024210,train,38.31172561645508
f024220,train,38.04111099243164
f024225,train,38.23106384277344
f024230,train,39.00918960571289
f024235,train,38.246315002441406
f024240,train,38.21080780029297
f024245,train,39.066375732421875
f024250,train,39.40568923950195
f024260,train,39.41205978393555
f024265,train,39.52114486694336
f024270,train,38.895240783691406
f024275,train,39.78797149658203
f024280,train,39.362770080566406
f024285,train,37.853614807128906
f024290,train,37.754600524902344
f024300,train,37.34248352050781
f024305,train,38.07295227050781
f024310,train,38.232261657714844
f024315,train,38.20588684082031
f024320,train,38.73660659790039
f024325,train,38.11835861206055
f024330,train,37.52432632446289
f024340,train,38.85445785522461
f024345,train,38.61878204345703
f024350,train,39.1450080871582
f024355,train,39.595970153808594
f024360,train,38.928611755371094
