name,split,psnr
f000755,train,33.64565658569336
f000760,train,34.57405471801758
f000765,train,34.798397064208984
f000770,train,35.85959243774414
f000775,train,35.505149841308594
f000780,train,34.5596923828125
f000785,train,33.618019104003906
f000795,train,30.490997314453125
f000800,train,30.62026596069336
f000805,train,30.717498779296875
f000810,train,32.37418746948242
f000815,train,32.70054244995117
f000820,train,33.11178207397461
f000825,train,33.69158172607422
f000835,train,34.905696868896484
f000840,train,34.32430648803711
f000845,train,34.74654769897461
f000850,train,34.751121520996094
f000855,train,34.311561584472656
f000860,train,35.53760528564453
f000865,train,35.89821243286133
f000875,train,35.57221603393555
f000880,train,35.18471908569336
f000885,train,34.746795654296875
f000890,train,35.21883010864258
f000895,train,33.87331008911133
f000900,train,33.212005615234375
f000905,train,33.119388580322266
f000915,train,34.774967193603516
f000920,train,35.53390884399414
f000925,train,35.79389572143555
f000930,train,35.220516204833984
f000935,train,36.00542068481445
f000940,train,36.05281066894531
f000945,train,35.41120910644531
f000955,train,35.88331604003906
f000960,train,35.20085525512695
f000965,train,35.897315979003906
f000970,train,35.88077163696289
f000975,train,35.09933090209961
f000980,train,35.534202575683594
f000985,train,35.23923110961914
f000995,train,36.14215087890625
f001000,train,36.75285720825195
f001005,train,36.57293701171875
f001010,train,37.419212341308594
f001015,train,37.48289489746094
f001020,train,36.96103286743164
f001025,train,37.545921325683594
f001035,train,36.542240142822266
f001040,train,36.965240478515625
f001045,train,36.832603454589844
f001050,train,36.010013580322266
f001055,train,36.17184829711914
f001060,train,35.98440933227539
f001065,train,35.582969665527344
f001075,train,35.636573791503906
f001080,train,35.117469787597656
f001085,train,35.36552047729492
f001090,train,35.64271545410156
f001095,train,35.164154052734375
f001100,train,35.57952117919922
f001105,train,35.34109878540039
f001115,train,35.37099838256836
f001120,train,35.36556625366211
f001125,train,35.04138946533203
f001130,train,34.994361877441406
f001135,train,34.828556060791016
f001140,train,34.519107818603516
f001145,train,34.685787200927734
f001155,train,34.20474624633789
f001160,train,34.13839340209961
f001165,train,33.86823654174805
f001170,train,35.199981689453125
f001175,train,35.98668670654297
f001180,train,35.84209442138672
f001185,train,34.43965148925781
f001195,train,35.08770751953125
f001200,train,34.7645149230957
f001205,train,35.66409683227539
f001210,train,36.04243850708008
f001215,train,35.577491760253906
f001220,train,36.46638870239258
f001225,train,36.66032409667969
f001235,train,36.639469146728516
f001240,train,36.678749084472656
f001245,train,36.01235580444336
f001250,train,36.55662536621094
f001255,train,36.54923629760742
f001260,train,35.757747650146484
f001265,train,35.95641326904297
f001275,train,35.42243576049805
f001280,train,35.779598236083984
f001285,train,35.43644714355469
f001290,train,34.78152847290039
f001295,train,34.436458587646484
f001300,train,32.71881866455078
f001305,train,34.69821548461914
f001315,train,35.380714416503906
f001320,train,35.40715789794922
f001325,train,35.438167572021484
f001330,train,34.973812103271484
f001335,train,34.51790237426758
f001340,train,34.832252502441406
f001345,train,34.90446472167969
f001355,train,36.06974792480469
f001360,train,36.75107955932617
f001365,train,36.176979064941406
f001370,train,36.46018600463867
f001375,train,36.854000091552734
f001380,train,36.3582649230957
f001385,train,37.172019958496094
f001395,train,35.97420120239258
f001400,train,36.31205749511719
f001405,train,35.57826614379883
f001410,train,34.045108795166016
f001415,train,33.4830436706543
f001420,train,33.01970672607422
f001425,train,32.64004135131836
f001435,train,33.05294418334961
f001440,train,32.89096450805664
f001445,train,33.29168701171875
f001450,train,33.250545501708984
f001455,train,32.920936584472656
f001460,train,33.30751037597656
f001465,train,33.11475372314453
f001475,train,32.98853302001953
f001480,train,32.938350677490234
f001485,train,32.451927185058594
f001490,train,32.46135711669922
f001495,train,32.1158332824707
f001500,train,31.0427188873291
f001505,train,31.267658233642578
f001515,train,31.355228424072266
f001520,train,31.954833984375
f001525,train,32.24980926513672
f001530,train,32.730003356933594
f001535,train,33.335506439208984
f001540,train,33.15938186645508
f001545,train,33.39552307128906
f001555,train,34.65973663330078
f001560,train,33.66718673706055
f001565,train,35.41864013671875
f001570,train,35.43425750732422
f001575,train,35.2060546875
f001580,train,35.591732025146484
f001585,train,35.712703704833984
f001595,train,35.03641891479492
f001600,train,35.39921951293945
f001605,train,34.906124114990234
f001610,train,35.00629806518555
f001615,train,34.86284255981445
f001620,train,33.39624786376953
f001625,train,33.998653411865234
f001635,train,33.267066955566406
f001640,train,33.96459197998047
f001645,train,34.87066650390625
f001650,train,34.65032958984375
f001655,train,34.223304748535156
f001660,train,33.85137176513672
f001665,train,33.102439880371094
f001675,train,32.4759635925293
f001680,train,32.58598327636719
f001685,train,31.998859405517578
f001690,train,31.617828369140625
f001695,train,30.95608901977539
f001700,train,30.679405212402344
f001705,train,30.838891983032227
f001715,train,30.4930419921875
f001720,train,30.213661193847656
f001725,train,31.025859832763672
f001730,train,31.721487045288086
f001735,train,32.695125579833984
f001740,train,32.91801834106445
f001745,train,32.99551010131836
f001755,train,33.769142150878906
f001760,train,35.55723190307617
f001765,train,36.334468841552734
f001770,train,36.47002029418945
f001775,train,36.18008041381836
f001780,train,36.590450286865234
f001785,train,36.35209274291992
f001795,train,36.495452880859375
f001800,train,36.19184875488281
f001805,train,36.44515609741211
f001810,train,36.421512603759766
f001815,train,35.72494888305664
f001820,train,36.09587097167969
f001825,train,36.1521110534668
f001835,train,34.05283737182617
f001840,train,34.22590637207031
f001845,train,34.5746955871582
f001850,train,34.74042892456055
f001855,train,34.93965148925781
f001860,train,34.77939224243164
f001865,train,35.1169548034668
f001875,train,35.46171951293945
f001880,train,35.76645278930664
f001885,train,35.73073959350586
f001890,train,35.397911071777344
f001895,train,34.14350509643555
f001900,train,32.33395004272461
f001905,train,31.427520751953125
f001915,train,31.722620010375977
f001920,train,32.42798614501953
f001925,train,32.8878059387207
f001930,train,31.895227432250977
f001935,train,21.583229064941406
f001940,train,30.322694778442383
f001945,train,29.542978286743164
f001955,train,30.24295997619629
f001960,train,31.09088897705078
f001965,train,32.443729400634766
f001970,train,33.98501205444336
f001975,train,33.766845703125
f001980,train,33.29655456542969
f001985,train,32.80670928955078
f001995,train,33.23222351074219
f002000,train,32.82865905761719
f002005,train,33.34650421142578
f002010,train,33.2716178894043
f002015,train,33.330196380615234
f002020,train,33.50094223022461
f002025,train,34.600677490234375
f002035,train,35.687252044677734
f002040,train,34.55350112915039
f002045,train,35.256187438964844
f002050,train,34.11260986328125
f002055,train,33.49732971191406
f002060,train,33.122779846191406
f002065,train,31.699176788330078
f002075,train,29.77168083190918
f002080,train,30.494251251220703
f002085,train,31.056312561035156
f002090,train,31.668209075927734
f002095,train,31.827713012695312
f002100,train,31.503662109375
f002105,train,31.594703674316406
f002115,train,23.1686954498291
f002120,train,31.24873924255371
f002125,train,31.495399475097656
f002130,train,31.901836395263672
f002135,train,31.272106170654297
f002140,train,32.39808654785156
f002145,train,33.250701904296875
f002155,train,35.04888916015625
f002160,train,34.858882904052734
f002165,train,35.120975494384766
f002170,train,34.67165756225586
f002175,train,33.99403762817383
f002180,train,33.94581604003906
f002185,train,34.389034271240234
f002195,train,35.59656524658203
f002200,train,35.33580017089844
f002205,train,34.609615325927734
f002210,train,33.84564971923828
f002215,train,33.08375549316406
f002220,train,32.00608444213867
f002225,train,35.472999572753906
f002235,train,34.091651916503906
f002240,train,33.291770935058594
f002245,train,31.96833610534668
f000750,test,31.701465606689453
f000790,test,30.727344512939453
f000830,test,34.160301208496094
f000870,test,34.81623458862305
f000910,test,32.993675231933594
f000950,test,35.91157913208008
f000990,test,34.93285369873047
f001030,test,37.2148323059082
f001070,test,35.74795150756836
f001110,test,35.02419662475586
f001150,test,34.484867095947266
f001190,test,35.03105545043945
f001230,test,35.91883087158203
f001270,test,35.860084533691406
f001310,test,35.02001953125
f001350,test,35.04758071899414
f001390,test,36.899471282958984
f001430,test,32.86162567138672
f001470,test,32.61719512939453
f001510,test,31.55918312072754
f001550,test,33.62868881225586
f001590,test,33.861244201660156
f001630,test,34.0516242980957
f001670,test,32.802425384521484
f001710,test,30.652976989746094
f001750,test,33.21855163574219
f001790,test,36.44478988647461
f001830,test,34.74127197265625
f001870,test,35.188926696777344
f001910,test,30.481252670288086
f001950,test,29.527788162231445
f001990,test,32.777610778808594
f002030,test,33.41805648803711
f002070,test,29.852445602416992
f002110,test,31.16264533996582
f002150,test,34.496559143066406
f002190,test,34.44268035888672
f002230,test,34.373939514160156
