name,split,psnr
f000755,train,34.2564811706543
f000760,train,35.08205795288086
f000765,train,35.19081497192383
f000770,train,36.36921691894531
f000775,train,35.92515182495117
f000780,train,34.822837829589844
f000785,train,33.82085418701172
f000795,train,30.653364181518555
f000800,train,30.880413055419922
f000805,train,31.138084411621094
f000810,train,32.799983978271484
f000815,train,33.228248596191406
f000820,train,33.714256286621094
f000825,train,34.04082107543945
f000835,train,35.256107330322266
f000840,train,34.650699615478516
f000845,train,35.09617233276367
f000850,train,35.18672180175781
f000855,train,34.51436996459961
f000860,train,35.678077697753906
f000865,train,35.8971061706543
f000875,train,35.63461685180664
f000880,train,35.291561126708984
f000885,train,34.809593200683594
f000890,train,35.36381149291992
f000895,train,34.34627914428711
f000900,train,33.61098861694336
f000905,train,33.39341735839844
f000915,train,34.95173263549805
f000920,train,35.7945671081543
f000925,train,36.13996124267578
f000930,train,35.596038818359375
f000935,train,36.44734191894531
f000940,train,36.49802780151367
f000945,train,35.80826187133789
f000955,train,36.4817008972168
f000960,train,35.68303298950195
f000965,train,36.396175384521484
f000970,train,36.36504364013672
f000975,train,35.447166442871094
f000980,train,35.49022674560547
f000985,train,35.19172286987305
f000995,train,36.27573013305664
f001000,train,36.866783142089844
f001005,train,36.724605560302734
f001010,train,37.6067008972168
f001015,train,37.67110061645508
f001020,train,37.14090347290039
f001025,train,37.79593276977539
f001035,train,36.840850830078125
f001040,train,37.454917907714844
f001045,train,37.40851593017578
f001050,train,36.45214080810547
f001055,train,36.74227523803711
f001060,train,36.721153259277344
f001065,train,36.212162017822266
f001075,train,36.352867126464844
f001080,train,35.74333953857422
f001085,train,36.08608627319336
f001090,train,36.292030334472656
f001095,train,35.84340286254883
f001100,train,36.080078125
f001105,train,35.820003509521484
f001115,train,36.427825927734375
f001120,train,36.506202697753906
f001125,train,35.90867233276367
f001130,train,36.07499313354492
f001135,train,36.001590728759766
f001140,train,35.52320098876953
f001145,train,35.98566818237305
f001155,train,35.321144104003906
f001160,train,35.46002197265625
f001165,train,35.11559295654297
f001170,train,35.85169982910156
f001175,train,36.649696350097656
f001180,train,35.560359954833984
f001185,train,34.02398681640625
f001195,train,35.886268615722656
f001200,train,35.421451568603516
f001205,train,36.21787643432617
f001210,train,36.40793228149414
f001215,train,35.89952087402344
f001220,train,36.678871154785156
f001225,train,36.86543273925781
f001235,train,36.7771110534668
f001240,train,36.79949188232422
f001245,train,36.17338943481445
f001250,train,36.67267608642578
f001255,train,36.62469482421875
f001260,train,35.84270095825195
f001265,train,35.965206146240234
f001275,train,35.49819564819336
f001280,train,35.77469253540039
f001285,train,35.317726135253906
f001290,train,34.50651168823242
f001295,train,34.55974197387695
f001300,train,34.89353942871094
f001305,train,34.958160400390625
f001315,train,35.735137939453125
f001320,train,35.466732025146484
