name,split,psnr
f000755,train,34.07255554199219
f000760,train,35.088619232177734
f000765,train,35.21011734008789
f000770,train,36.326114654541016
f000775,train,35.826778411865234
f000780,train,34.79559326171875
f000785,train,33.89109802246094
f000795,train,30.84612274169922
f000800,train,31.144023895263672
f000805,train,31.291458129882812
f000810,train,32.79311752319336
f000815,train,33.237606048583984
f000820,train,33.79609298706055
f000825,train,34.14888000488281
f000835,train,34.965843200683594
f000840,train,34.361289978027344
f000845,train,34.61320114135742
f000850,train,34.71383285522461
f000855,train,34.287052154541016
f000860,train,35.491455078125
f000865,train,35.79746627807617
f000875,train,35.416080474853516
f000880,train,35.09279251098633
f000885,train,34.427146911621094
f000890,train,34.575382232666016
f000895,train,33.57367706298828
f000900,train,33.0742301940918
f000905,train,32.929954528808594
f000915,train,34.69111633300781
f000920,train,35.670562744140625
f000925,train,36.05143737792969
f000930,train,35.44712448120117
f000935,train,36.24837112426758
f000940,train,36.27700424194336
f000945,train,35.62262725830078
f000955,train,36.13763427734375
f000960,train,35.4377326965332
f000965,train,36.13011169433594
f000970,train,36.13285827636719
f000975,train,35.35066604614258
f000980,train,35.834495544433594
f000985,train,36.033447265625
f000995,train,36.47445297241211
f001000,train,36.946876525878906
f001005,train,36.64298629760742
f001010,train,37.62202835083008
f001015,train,37.70600891113281
f001020,train,37.13178253173828
f001025,train,37.80601501464844
f001035,train,36.733673095703125
f001040,train,37.19063186645508
f001045,train,37.024288177490234
f001050,train,36.09149169921875
f001055,train,36.230064392089844
f001060,train,35.92364501953125
f001065,train,35.27436828613281
f001075,train,35.395084381103516
f001080,train,34.955169677734375
f001085,train,35.3795280456543
f001090,train,35.5704460144043
f001095,train,34.896568298339844
f001100,train,35.278682708740234
f001105,train,35.013736724853516
f001115,train,35.534610748291016
f001120,train,35.75411605834961
f001125,train,35.42961502075195
f001130,train,35.61762237548828
f001135,train,35.569942474365234
f001140,train,35.177772521972656
f001145,train,35.463233947753906
f001155,train,34.73533248901367
f001160,train,34.71870040893555
f001165,train,34.418540954589844
f001170,train,35.48217010498047
f001175,train,36.2933464050293
f001180,train,35.91972732543945
f001185,train,34.5052490234375
f001195,train,35.23471450805664
f001200,train,34.889556884765625
f001205,train,35.87250900268555
f001210,train,36.22233200073242
f001215,train,35.77236557006836
f001220,train,36.64582443237305
f001225,train,36.93860626220703
f001235,train,36.98710632324219
f001240,train,37.015987396240234
f001245,train,36.21912384033203
f001250,train,36.7903938293457
f001255,train,36.79491424560547
f001260,train,35.89643096923828
f001265,train,36.091270446777344
f001275,train,35.52560043334961
f001280,train,35.923133850097656
f001285,train,35.662330627441406
f001290,train,35.11096954345703
f001295,train,35.313743591308594
f001300,train,35.40962600708008
f001305,train,35.12567138671875
f001315,train,35.76675033569336
f001320,train,35.51748275756836
f001325,train,35.76655197143555
f001330,train,35.122154235839844
f001335,train,35.0084342956543
f001340,train,35.232757568359375
f001345,train,35.217281341552734
f001355,train,36.27167892456055
f001360,train,36.69716262817383
f001365,train,36.08853530883789
f001370,train,36.59675216674805
f001375,train,37.13865661621094
f001380,train,36.69512939453125
f001385,train,37.441837310791016
f001395,train,35.98395538330078
f001400,train,36.354087829589844
f001405,train,36.324771881103516
f001410,train,35.81925964355469
f001415,train,36.081912994384766
f001420,train,35.94919204711914
f001425,train,35.1458740234375
f001435,train,35.589595794677734
f001440,train,35.217071533203125
f001445,train,35.706085205078125
f001450,train,35.74845886230469
f001455,train,35.598915100097656
f001460,train,36.528663635253906
f001465,train,36.77756881713867
f001475,train,37.0299072265625
f001480,train,37.21547317504883
f001485,train,36.45104217529297
f001490,train,36.68034362792969
f001495,train,36.24702835083008
f001500,train,34.609867095947266
f001505,train,35.021385192871094
f001515,train,34.793365478515625
f001520,train,35.51715087890625
f001525,train,34.588340759277344
f001530,train,35.38087463378906
f001535,train,35.9444580078125
f001540,train,35.450077056884766
f001545,train,35.30244445800781
f001555,train,36.51820755004883
f001560,train,35.179080963134766
f001565,train,36.80244827270508
f001570,train,36.76970672607422
f001575,train,36.32776641845703
f001580,train,36.68330001831055
f001585,train,36.770050048828125
f001595,train,36.00636672973633
f001600,train,36.26842498779297
f001605,train,35.93655776977539
f001610,train,35.84660339355469
f001615,train,36.27825164794922
f001620,train,35.1945686340332
f001625,train,36.0977668762207
f001635,train,35.07064437866211
f001640,train,35.75343704223633
f001645,train,36.64411163330078
f001650,train,36.93217468261719
f001655,train,37.409202575683594
f001660,train,37.87589645385742
f001665,train,37.16559600830078
f001675,train,35.88941955566406
f001680,train,36.802066802978516
f001685,train,35.94525146484375
f001690,train,35.627708435058594
f001695,train,34.538055419921875
f001700,train,34.44585037231445
f001705,train,34.53784942626953
f001715,train,34.055145263671875
f001720,train,33.97453689575195
f001725,train,34.882789611816406
f001730,train,35.954166412353516
f001735,train,36.998130798339844
f001740,train,36.833526611328125
f001745,train,36.784584045410156
f001755,train,36.78248596191406
f001760,train,38.26838302612305
f001765,train,37.94386291503906
f001770,train,38.33351516723633
f001775,train,38.07158660888672
f001780,train,38.26629638671875
f001785,train,38.23241424560547
f001795,train,38.336273193359375
f001800,train,38.141231536865234
f001805,train,38.605018615722656
f001810,train,38.688716888427734
f001815,train,37.738502502441406
f001820,train,38.22941207885742
f001825,train,38.712547302246094
f001835,train,36.77537155151367
f001840,train,37.17689895629883
f001845,train,37.44375228881836
f001850,train,37.755245208740234
f001855,train,37.8780403137207
f001860,train,37.451454162597656
f001865,train,37.486690521240234
f001875,train,36.969608306884766
f001880,train,37.51509475708008
f001885,train,37.761295318603516
f001890,train,36.988887786865234
f001895,train,36.07546615600586
f001900,train,34.25209045410156
f001905,train,34.23154830932617
f001915,train,35.28603744506836
f001920,train,35.115413665771484
f001925,train,35.62879943847656
f001930,train,35.62373352050781
f001935,train,21.816904067993164
f001940,train,33.93276596069336
f001945,train,32.946136474609375
f001955,train,33.3045654296875
f001960,train,33.672515869140625
f001965,train,34.19619369506836
f001970,train,35.2469596862793
f001975,train,34.71696472167969
f001980,train,34.855228424072266
f001985,train,34.334049224853516
f001995,train,34.07048034667969
f002000,train,34.23395919799805
f002005,train,34.917144775390625
f002010,train,34.62504196166992
f002015,train,34.66036605834961
f002020,train,34.77848434448242
f002025,train,35.565467834472656
f002035,train,36.69749450683594
f002040,train,35.599700927734375
f002045,train,36.20275115966797
f002050,train,35.488739013671875
f002055,train,35.16810989379883
f002060,train,34.558563232421875
f002065,train,33.4118537902832
f002075,train,33.15507888793945
f002080,train,33.28008270263672
f002085,train,33.736080169677734
f002090,train,33.92369079589844
f002095,train,33.94801712036133
f002100,train,33.20808029174805
f002105,train,33.50905990600586
f002115,train,23.243072509765625
f002120,train,32.605010986328125
f002125,train,32.76387405395508
f002130,train,33.19108581542969
f002135,train,32.61906433105469
f002140,train,33.62158966064453
f002145,train,34.152626037597656
f002155,train,35.4082145690918
f002160,train,35.06092071533203
f002165,train,35.1820182800293
f002170,train,34.737213134765625
f002175,train,34.2138786315918
f002180,train,34.22547912597656
f002185,train,34.79396438598633
f002195,train,35.9973258972168
f002200,train,35.543304443359375
f002205,train,34.62013626098633
f002210,train,33.87139892578125
f002215,train,32.882354736328125
f002220,train,33.31494903564453
f002225,train,36.364803314208984
f002235,train,35.481929779052734
f002240,train,34.52448272705078
f002245,train,33.04796600341797
f000750,test,32.31557083129883
f000790,test,31.002079010009766
f000830,test,34.530792236328125
f000870,test,34.7549934387207
f000910,test,32.78284454345703
f000950,test,36.115142822265625
f000990,test,35.20893859863281
f001030,test,37.508487701416016
f001070,test,35.41046142578125
f001110,test,34.79636001586914
f001150,test,35.19610595703125
f001190,test,35.155250549316406
f001230,test,36.22821044921875
f001270,test,35.98297882080078
f001310,test,35.59791946411133
f001350,test,35.33253479003906
f001390,test,37.029441833496094
f001430,test,35.608070373535156
f001470,test,36.12559509277344
f001510,test,35.22422409057617
f001550,test,35.42105484008789
f001590,test,34.89823913574219
f001630,test,35.764892578125
f001670,test,37.031253814697266
f001710,test,34.0481071472168
f001750,test,36.74529266357422
f001790,test,38.254486083984375
f001830,test,37.266357421875
f001870,test,36.79395294189453
f001910,test,33.22697448730469
f001950,test,32.65274429321289
f001990,test,33.85624313354492
f002030,test,34.70952606201172
f002070,test,32.69105529785156
f002110,test,32.33878707885742
f002150,test,34.97399139404297
f002190,test,34.86035919189453
f002230,test,35.85337829589844
