name,split,psnr
f000755,train,34.141876220703125
f000760,train,35.09047317504883
f000765,train,35.1721305847168
f000770,train,36.170963287353516
f000775,train,35.560508728027344
f000780,train,34.467220306396484
f000785,train,33.53211212158203
f000795,train,30.73065948486328
f000800,train,31.047996520996094
f000805,train,31.262666702270508
f000810,train,32.75358581542969
f000815,train,33.17764663696289
f000820,train,33.71970748901367
f000825,train,34.04545974731445
f000835,train,35.081268310546875
f000840,train,34.4858512878418
f000845,train,34.913639068603516
f000850,train,35.00890350341797
f000855,train,34.44603729248047
f000860,train,35.58966827392578
f000865,train,35.881317138671875
f000875,train,35.722930908203125
f000880,train,35.33188247680664
f000885,train,34.77714920043945
f000890,train,34.68733596801758
f000895,train,33.44387435913086
f000900,train,32.894432067871094
f000905,train,32.75862503051758
f000915,train,34.470703125
f000920,train,35.37888717651367
f000925,train,35.84572982788086
f000930,train,35.426170349121094
f000935,train,36.28515625
f000940,train,36.334739685058594
f000945,train,35.65583801269531
f000955,train,36.20682907104492
f000960,train,35.54311752319336
f000965,train,36.281150817871094
f000970,train,36.3053092956543
f000975,train,35.55415344238281
f000980,train,35.80525207519531
f000985,train,35.70116424560547
f000995,train,36.162933349609375
f001000,train,36.73368453979492
f001005,train,36.72416687011719
f001010,train,37.571014404296875
f001015,train,37.58364486694336
f001020,train,37.04684066772461
f001025,train,37.66893768310547
f001035,train,36.687950134277344
f001040,train,37.21345520019531
f001045,train,37.0507698059082
f001050,train,36.14111328125
f001055,train,36.34895706176758
f001060,train,36.30650329589844
f001065,train,35.80052185058594
f001075,train,35.834930419921875
f001080,train,35.33598327636719
f001085,train,35.59367752075195
f001090,train,35.918701171875
f001095,train,35.54481506347656
f001100,train,35.757301330566406
f001105,train,35.51832580566406
f001115,train,36.04447555541992
f001120,train,36.238685607910156
f001125,train,35.785221099853516
f001130,train,35.958194732666016
f001135,train,35.85748291015625
f001140,train,35.311500549316406
f001145,train,35.62002944946289
f001155,train,34.87255859375
f001160,train,34.840232849121094
f001165,train,34.52799987792969
f001170,train,35.532470703125
f001175,train,36.38676452636719
f001180,train,36.093528747558594
f001185,train,34.76190948486328
f001195,train,35.559593200683594
f001200,train,35.147117614746094
f001205,train,36.106536865234375
f001210,train,36.35060119628906
f001215,train,35.8428840637207
f001220,train,36.6854248046875
f001225,train,36.900108337402344
f001235,train,36.83668518066406
f001240,train,36.85382843017578
f001245,train,36.21400451660156
f001250,train,36.74345397949219
f001255,train,36.695030212402344
f001260,train,35.872161865234375
f001265,train,36.005279541015625
f001275,train,35.48426055908203
f001280,train,35.79925537109375
f001285,train,35.37779998779297
f001290,train,34.59688186645508
f001295,train,34.722938537597656
f001300,train,35.06647491455078
f001305,train,34.90871810913086
f001315,train,35.668617248535156
f001320,train,35.49526596069336
f001325,train,35.67573165893555
f001330,train,34.958919525146484
f001335,train,34.68410873413086
f001340,train,34.974609375
f001345,train,35.04439926147461
f001355,train,36.294368743896484
f001360,train,36.799644470214844
f001365,train,36.236141204833984
f001370,train,36.693450927734375
f001375,train,37.20828628540039
f001380,train,36.759185791015625
f001385,train,37.45705795288086
f001395,train,36.090415954589844
f001400,train,36.519798278808594
f001405,train,36.404727935791016
f001410,train,35.77595138549805
f001415,train,36.14080047607422
f001420,train,36.07752990722656
f001425,train,35.28180694580078
f001435,train,35.96151351928711
f001440,train,35.658485412597656
f001445,train,36.255577087402344
f001450,train,36.315704345703125
f001455,train,36.05498123168945
f001460,train,36.85609436035156
f001465,train,36.980918884277344
f001475,train,37.2901496887207
f001480,train,37.5404167175293
f001485,train,36.831214904785156
f001490,train,37.073368072509766
f001495,train,36.65541458129883
f001500,train,34.936378479003906
f001505,train,35.31694793701172
f001515,train,34.7819709777832
f001520,train,35.368167877197266
f001525,train,34.47154235839844
f001530,train,35.04534912109375
f001535,train,35.39657211303711
f001540,train,34.90081024169922
f001545,train,34.80253601074219
f001555,train,35.90971374511719
f001560,train,34.893890380859375
f001565,train,35.79819869995117
f001570,train,35.84206008911133
f001575,train,35.45488739013672
f001580,train,35.58843994140625
f001585,train,35.413204193115234
f001595,train,35.00920104980469
f001600,train,35.38356399536133
f001605,train,35.55167770385742
f001610,train,35.2122802734375
f001615,train,35.69862365722656
f001620,train,34.951602935791016
f001625,train,35.443695068359375
f001635,train,34.94184112548828
f001640,train,35.60939025878906
f001645,train,35.79984664916992
f001650,train,31.54361915588379
f001655,train,31.619991302490234
f001660,train,32.16573715209961
f001665,train,32.62826156616211
f001675,train,32.937957763671875
f001680,train,35.64061737060547
f001685,train,35.17736053466797
f001690,train,35.19590759277344
f001695,train,34.42397689819336
f001700,train,34.02583312988281
f001705,train,33.717979431152344
f001715,train,32.97345733642578
f001720,train,32.9902458190918
f001725,train,34.02765655517578
f001730,train,35.165313720703125
f001735,train,36.5772705078125
f001740,train,35.49381637573242
f001745,train,35.742496490478516
f001755,train,35.738487243652344
f001760,train,37.06232452392578
f001765,train,37.07478332519531
f001770,train,37.717079162597656
f001775,train,37.513206481933594
f001780,train,38.056251525878906
f001785,train,38.04914855957031
f001795,train,38.320953369140625
f001800,train,38.5201416015625
f001805,train,38.939430236816406
f001810,train,39.14445877075195
f001815,train,38.33331298828125
f001820,train,38.92210388183594
f001825,train,38.88298797607422
f001835,train,35.6015625
f001840,train,35.92680358886719
f001845,train,36.50324630737305
f001850,train,36.7396125793457
f001855,train,36.88333511352539
f001860,train,36.51061248779297
f001865,train,36.592140197753906
f001875,train,36.443572998046875
f001880,train,37.07517623901367
f001885,train,37.491580963134766
f001890,train,36.67594909667969
f001895,train,36.14307403564453
f001900,train,34.47585678100586
f001905,train,34.3460578918457
f001915,train,35.020729064941406
f001920,train,34.90837478637695
f001925,train,35.261566162109375
f001930,train,35.02813720703125
f001935,train,21.714563369750977
f001940,train,33.358375549316406
f001945,train,32.59607696533203
f001955,train,33.0858154296875
f001960,train,34.01979064941406
f001965,train,34.53213882446289
f001970,train,35.27119827270508
f001975,train,35.29960632324219
f001980,train,35.36853790283203
f001985,train,34.77202224731445
f001995,train,34.27144241333008
f002000,train,34.39305877685547
f002005,train,35.01878356933594
f002010,train,34.803287506103516
f002015,train,35.12717819213867
f002020,train,35.40359115600586
f002025,train,35.67146682739258
f002035,train,37.0172004699707
f002040,train,35.678466796875
f002045,train,36.65137481689453
f002050,train,35.830020904541016
f002055,train,34.753013610839844
f002060,train,34.56008529663086
f002065,train,33.0975341796875
f002075,train,32.15616989135742
f002080,train,32.936973571777344
f002085,train,33.23776626586914
f002090,train,33.4815559387207
f002095,train,33.9625129699707
f002100,train,33.40456771850586
f002105,train,33.600711822509766
f002115,train,23.219722747802734
f002120,train,32.831180572509766
f002125,train,32.99338150024414
f002130,train,33.36314392089844
f002135,train,32.88619613647461
f002140,train,33.73194885253906
f002145,train,34.3178596496582
f002155,train,35.50226593017578
f002160,train,35.20055389404297
f002165,train,35.13255310058594
f002170,train,34.5528450012207
f002175,train,33.90874481201172
f002180,train,33.87617492675781
f002185,train,34.4127311706543
f002195,train,35.85749816894531
f002200,train,35.714569091796875
f002205,train,35.063232421875
f002210,train,33.876224517822266
f002215,train,32.79503631591797
f002220,train,33.342506408691406
f002225,train,36.77280044555664
f002235,train,35.3428955078125
f002240,train,34.24750900268555
f002245,train,32.656280517578125
f000750,test,32.31568145751953
f000790,test,30.732051849365234
f000830,test,34.4725341796875
f000870,test,34.90119934082031
f000910,test,32.67717361450195
f000950,test,36.19615173339844
f000990,test,35.18770980834961
f001030,test,37.40225601196289
f001070,test,35.915706634521484
f001110,test,35.346797943115234
f001150,test,35.34437561035156
f001190,test,35.450767517089844
f001230,test,36.138572692871094
f001270,test,35.89591979980469
f001310,test,35.4345588684082
f001350,test,35.26808166503906
f001390,test,37.008827209472656
f001430,test,35.830562591552734
f001470,test,36.38047790527344
f001510,test,35.405601501464844
f001550,test,35.016510009765625
f001590,test,34.14756774902344
f001630,test,35.530128479003906
f001670,test,33.490325927734375
f001710,test,33.05028533935547
f001750,test,36.212467193603516
f001790,test,38.180240631103516
f001830,test,36.632484436035156
f001870,test,36.127506256103516
f001910,test,33.529693603515625
f001950,test,32.55034255981445
f001990,test,34.00947189331055
f002030,test,34.19325256347656
f002070,test,32.19242858886719
f002110,test,32.7717399597168
f002150,test,35.23728561401367
f002190,test,34.551971435546875
f002230,test,35.97844314575195
