name,split,psnr
f000755,train,34.300323486328125
f000760,train,35.193359375
f000765,train,35.31276321411133
f000770,train,36.42560958862305
f000775,train,35.73807144165039
f000780,train,34.68760681152344
f000785,train,33.741981506347656
f000795,train,30.77762222290039
f000800,train,31.151113510131836
f000805,train,31.337501525878906
f000810,train,33.00818634033203
f000815,train,33.55372619628906
f000820,train,34.00365447998047
f000825,train,34.21189880371094
f000835,train,35.33345031738281
f000840,train,34.63896560668945
f000845,train,35.07387161254883
f000850,train,35.23388671875
f000855,train,34.5482063293457
f000860,train,35.59840393066406
f000865,train,35.88418197631836
f000875,train,35.785709381103516
f000880,train,35.291019439697266
f000885,train,34.70317077636719
f000890,train,35.23371505737305
f000895,train,34.283233642578125
f000900,train,33.64282989501953
f000905,train,33.514225006103516
f000915,train,35.000274658203125
f000920,train,35.826908111572266
f000925,train,36.20344924926758
f000930,train,35.67056655883789
f000935,train,36.5859260559082
f000940,train,36.6328239440918
f000945,train,35.92499923706055
f000955,train,36.55513000488281
f000960,train,35.74827575683594
f000965,train,36.506526947021484
f000970,train,36.49512481689453
f000975,train,35.69116973876953
f000980,train,36.243080139160156
f000985,train,36.139530181884766
f000995,train,36.5612678527832
f001000,train,36.990089416503906
f001005,train,36.781837463378906
f001010,train,37.65727233886719
f001015,train,37.67888259887695
f001020,train,37.165977478027344
f001025,train,37.87519836425781
f001035,train,36.837860107421875
f001040,train,37.45612335205078
f001045,train,37.432395935058594
f001050,train,36.52235412597656
f001055,train,36.952857971191406
f001060,train,36.887123107910156
f001065,train,36.25131607055664
f001075,train,36.531593322753906
f001080,train,35.75328063964844
f001085,train,36.38957214355469
f001090,train,36.468101501464844
f001095,train,36.11688232421875
f001100,train,36.516510009765625
f001105,train,36.27599334716797
f001115,train,36.88286209106445
f001120,train,37.03036880493164
f001125,train,36.40580749511719
f001130,train,36.778865814208984
f001135,train,36.74729919433594
f001140,train,36.016693115234375
f001145,train,36.69929504394531
f001155,train,35.61231994628906
f001160,train,36.19432830810547
f001165,train,36.029563903808594
f001170,train,35.49983215332031
f001175,train,36.345001220703125
f001180,train,36.52690887451172
f001185,train,35.51930618286133
f001195,train,36.0863037109375
f001200,train,35.60844039916992
f001205,train,36.538761138916016
f001210,train,36.805206298828125
f001215,train,36.29710388183594
f001220,train,37.11032485961914
f001225,train,37.34503173828125
f001235,train,37.31689453125
f001240,train,37.35323715209961
f001245,train,36.64038848876953
f001250,train,37.22267532348633
f001255,train,37.140281677246094
f001260,train,36.23653793334961
f001265,train,36.37880325317383
f001275,train,35.860694885253906
f001280,train,36.30271530151367
f001285,train,36.039825439453125
f001290,train,35.32341384887695
f001295,train,35.27542495727539
f001300,train,35.381996154785156
f001305,train,35.356048583984375
f001315,train,36.105224609375
f001320,train,35.84722137451172
f001325,train,36.0009880065918
f001330,train,35.46189880371094
f001335,train,35.03899383544922
f001340,train,35.305240631103516
