name,split,psnr
f000755,train,34.23765563964844
f000760,train,35.131874084472656
f000765,train,35.286521911621094
f000770,train,36.34127426147461
f000775,train,35.84669876098633
f000780,train,34.837589263916016
f000785,train,33.84075927734375
f000795,train,30.735904693603516
f000800,train,31.08139991760254
f000805,train,31.302181243896484
f000810,train,33.01734161376953
f000815,train,33.58367156982422
f000820,train,34.0143928527832
f000825,train,34.168216705322266
f000835,train,34.857295989990234
f000840,train,34.28156280517578
f000845,train,34.89354705810547
f000850,train,35.083988189697266
f000855,train,34.52093505859375
f000860,train,35.66374206542969
f000865,train,35.93157958984375
f000875,train,35.644691467285156
f000880,train,35.20682907104492
f000885,train,34.70790481567383
f000890,train,35.300682067871094
f000895,train,34.11765670776367
f000900,train,33.33716583251953
f000905,train,33.06834030151367
f000915,train,34.67354202270508
f000920,train,35.584129333496094
f000925,train,35.964176177978516
f000930,train,35.41313934326172
f000935,train,36.19480895996094
f000940,train,36.2035026550293
f000945,train,35.554378509521484
f000955,train,36.22694396972656
f000960,train,35.5145263671875
f000965,train,36.22642135620117
f000970,train,36.167293548583984
f000975,train,35.354087829589844
f000980,train,35.802398681640625
f000985,train,35.957027435302734
f000995,train,36.597991943359375
f001000,train,37.02788162231445
f001005,train,36.741241455078125
f001010,train,37.61896896362305
f001015,train,37.62574005126953
f001020,train,37.03757095336914
f001025,train,37.64927673339844
f001035,train,36.54103469848633
f001040,train,37.009986877441406
f001045,train,36.8677864074707
f001050,train,35.994625091552734
f001055,train,36.1790885925293
f001060,train,35.92336654663086
f001065,train,35.3394775390625
f001075,train,35.419002532958984
f001080,train,34.92643737792969
f001085,train,35.27555465698242
f001090,train,35.45486068725586
f001095,train,34.96849060058594
f001100,train,35.22334289550781
f001105,train,35.03360366821289
f001115,train,35.4393424987793
f001120,train,35.603179931640625
f001125,train,35.2584342956543
f001130,train,35.43104934692383
f001135,train,35.363441467285156
f001140,train,34.994651794433594
f001145,train,35.26444625854492
f001155,train,34.660125732421875
f001160,train,34.601375579833984
f001165,train,34.27857208251953
f001170,train,35.44793701171875
f001175,train,36.236717224121094
f001180,train,35.95871353149414
f001185,train,34.59000015258789
f001195,train,35.28902816772461
f001200,train,34.82235336303711
f001205,train,35.720848083496094
f001210,train,36.06307601928711
f001215,train,35.68846893310547
f001220,train,36.62026596069336
f001225,train,36.907894134521484
f001235,train,36.96294403076172
f001240,train,36.98130416870117
f001245,train,36.24934387207031
f001250,train,36.76063537597656
f001255,train,36.75836181640625
f001260,train,35.96765899658203
f001265,train,36.11543273925781
f001275,train,35.56927490234375
f001280,train,35.884544372558594
f001285,train,35.65597915649414
f001290,train,35.17228698730469
f001295,train,35.25237274169922
f001300,train,35.24417495727539
f001305,train,34.99773406982422
f001315,train,35.57998275756836
f001320,train,35.32849884033203
f001325,train,35.525325775146484
f001330,train,34.99834060668945
f001335,train,34.7510871887207
f001340,train,34.9444465637207
f001345,train,35.03608703613281
f001355,train,36.109317779541016
f001360,train,36.52079772949219
f001365,train,35.96247482299805
f001370,train,36.5198860168457
f001375,train,37.04978561401367
f001380,train,36.55894088745117
f001385,train,37.330108642578125
f001395,train,35.948265075683594
f001400,train,36.330116271972656
f001405,train,36.26049041748047
f001410,train,35.66395950317383
f001415,train,35.8802375793457
f001420,train,35.60586929321289
f001425,train,34.76569366455078
f001435,train,35.55284118652344
f001440,train,35.30583572387695
f001445,train,35.86516571044922
f001450,train,35.89853286743164
f001455,train,35.72407531738281
f001460,train,36.5724983215332
f001465,train,36.75697326660156
f001475,train,37.11174011230469
f001480,train,37.438453674316406
f001485,train,36.74197006225586
f001490,train,36.9948616027832
f001495,train,36.63465881347656
f001500,train,35.014339447021484
f001505,train,35.551300048828125
f001515,train,35.2650032043457
f001520,train,35.932289123535156
f001525,train,34.60140609741211
f001530,train,35.41813278198242
f001535,train,36.178401947021484
f001540,train,35.73992156982422
f001545,train,35.90522384643555
f001555,train,37.1451530456543
f001560,train,36.08039474487305
f001565,train,36.78306198120117
f001570,train,36.94000244140625
f001575,train,36.72566604614258
f001580,train,38.059326171875
f001585,train,37.293365478515625
f001595,train,36.7427978515625
f001600,train,37.127288818359375
f001605,train,36.44160461425781
f001610,train,36.856849670410156
f001615,train,36.9979133605957
f001620,train,36.02044677734375
f001625,train,36.91939926147461
f001635,train,35.956443786621094
f001640,train,36.43642044067383
f001645,train,37.158538818359375
f001650,train,37.01283264160156
f001655,train,37.23383331298828
f001660,train,37.555572509765625
f001665,train,36.588748931884766
f001675,train,35.332420349121094
f001680,train,36.4486198425293
f001685,train,36.0682258605957
f001690,train,36.07794952392578
f001695,train,35.19757080078125
f001700,train,35.16651916503906
f001705,train,35.121185302734375
f001715,train,34.54554748535156
f001720,train,34.630409240722656
f001725,train,35.55329895019531
f001730,train,36.385337829589844
f001735,train,37.21131134033203
f001740,train,37.02316665649414
f001745,train,37.00141143798828
f001755,train,36.19606018066406
f001760,train,37.47471618652344
f001765,train,37.8401985168457
f001770,train,38.31315612792969
f001775,train,38.13764190673828
f001780,train,38.69369125366211
f001785,train,38.3116569519043
f001795,train,38.58660888671875
f001800,train,38.53021240234375
f001805,train,38.961822509765625
f001810,train,38.911861419677734
f001815,train,37.982879638671875
f001820,train,38.543914794921875
f001825,train,38.85139083862305
f001835,train,36.60110855102539
f001840,train,37.09087371826172
f001845,train,37.27013397216797
f001850,train,37.54434585571289
f001855,train,37.75175476074219
f001860,train,37.358516693115234
f001865,train,37.415157318115234
f001875,train,37.19105911254883
f001880,train,37.644142150878906
f001885,train,37.8359260559082
f001890,train,37.06611251831055
f001895,train,36.297489166259766
f001900,train,34.51434326171875
f001905,train,33.929908752441406
f001915,train,35.59946060180664
f001920,train,35.370086669921875
f001925,train,35.88688278198242
f001930,train,35.5940055847168
f001935,train,21.760835647583008
f001940,train,33.92006301879883
f001945,train,32.98869323730469
f001955,train,33.229557037353516
f001960,train,34.394615173339844
f001965,train,34.572845458984375
f001970,train,34.88851547241211
f001975,train,34.897743225097656
f001980,train,35.07024383544922
f001985,train,34.38137435913086
f001995,train,34.080665588378906
f002000,train,34.38634490966797
f002005,train,35.28627014160156
f002010,train,35.21355438232422
f002015,train,35.86674118041992
f002020,train,35.704193115234375
f002025,train,36.265987396240234
f002035,train,37.08949661254883
f002040,train,35.93507385253906
f002045,train,36.39984893798828
f002050,train,34.70793914794922
f002055,train,34.22861099243164
f002060,train,34.50478744506836
f002065,train,32.850929260253906
f002075,train,32.65595245361328
f002080,train,33.636558532714844
f002085,train,33.95622634887695
f002090,train,34.35131072998047
f002095,train,34.41884231567383
f002100,train,33.51355743408203
f002105,train,33.82407760620117
