name,split,psnr
f000755,train,34.2365608215332
f000760,train,35.11519241333008
f000765,train,35.24407958984375
f000770,train,36.2324104309082
f000775,train,35.69486999511719
f000780,train,34.776832580566406
f000785,train,33.85456848144531
f000795,train,30.749370574951172
f000800,train,31.00062370300293
f000805,train,31.146175384521484
f000810,train,32.81031799316406
f000815,train,33.30351257324219
f000820,train,33.83592987060547
f000825,train,33.97788619995117
f000835,train,34.99043273925781
f000840,train,34.51764678955078
f000845,train,35.045997619628906
f000850,train,35.23805236816406
f000855,train,34.58534622192383
f000860,train,35.62546157836914
f000865,train,35.89450454711914
f000875,train,35.762882232666016
f000880,train,35.39527130126953
f000885,train,34.848426818847656
f000890,train,35.323631286621094
f000895,train,34.27574157714844
f000900,train,33.51246643066406
f000905,train,33.292808532714844
f000915,train,34.89751434326172
f000920,train,35.85349655151367
f000925,train,36.21383285522461
f000930,train,35.60078048706055
f000935,train,36.43668746948242
f000940,train,36.49689483642578
f000945,train,35.78443908691406
f000955,train,36.26346969604492
f000960,train,35.55542755126953
f000965,train,36.208683013916016
f000970,train,36.231807708740234
f000975,train,35.496498107910156
f000980,train,35.892024993896484
f000985,train,35.86521911621094
f000995,train,36.280094146728516
f001000,train,36.804683685302734
f001005,train,36.57476806640625
f001010,train,37.37480926513672
f001015,train,37.37018585205078
f001020,train,36.84428787231445
f001025,train,37.37151336669922
f001035,train,36.36008834838867
f001040,train,36.762943267822266
f001045,train,36.607757568359375
f001050,train,35.772850036621094
f001055,train,35.91380310058594
f001060,train,35.69318389892578
f001065,train,35.236000061035156
f001075,train,35.13376235961914
f001080,train,34.73271560668945
f001085,train,35.15943908691406
f001090,train,35.30653381347656
f001095,train,34.93092346191406
f001100,train,35.14468765258789
f001105,train,34.98162841796875
f001115,train,35.33565139770508
f001120,train,35.4732666015625
f001125,train,35.14617156982422
f001130,train,35.39208984375
f001135,train,35.32527542114258
f001140,train,34.921173095703125
f001145,train,35.27333450317383
f001155,train,34.660804748535156
f001160,train,34.66414260864258
f001165,train,34.39641571044922
f001170,train,35.36211013793945
f001175,train,36.14779281616211
f001180,train,36.04986572265625
f001185,train,34.779449462890625
f001195,train,35.58448791503906
f001200,train,35.12690734863281
f001205,train,36.063926696777344
f001210,train,36.3255729675293
f001215,train,35.86032485961914
f001220,train,36.658023834228516
f001225,train,36.839263916015625
f001235,train,36.75941848754883
f001240,train,36.79795837402344
f001245,train,36.25041198730469
f001250,train,36.75192642211914
f001255,train,36.74449157714844
f001260,train,35.920894622802734
f001265,train,35.97386932373047
f001275,train,35.374263763427734
f001280,train,35.63108825683594
f001285,train,35.288604736328125
f001290,train,34.70549011230469
f001295,train,34.6639404296875
f001300,train,34.701698303222656
f001305,train,34.57978439331055
f001315,train,35.1368293762207
f001320,train,34.941009521484375
f001325,train,35.05557632446289
f001330,train,34.576271057128906
f001335,train,34.33586120605469
f001340,train,34.458251953125
f001345,train,34.54745864868164
f001355,train,35.66278839111328
f001360,train,36.170108795166016
f001365,train,35.833213806152344
f001370,train,36.319664001464844
f001375,train,36.837154388427734
f001380,train,36.41089630126953
f001385,train,37.151004791259766
f001395,train,35.83330154418945
f001400,train,36.323055267333984
f001405,train,36.308799743652344
f001410,train,35.655426025390625
f001415,train,36.0206184387207
f001420,train,35.894981384277344
f001425,train,35.16645050048828
f001435,train,35.91352081298828
f001440,train,35.571128845214844
f001445,train,36.16751480102539
f001450,train,36.238101959228516
f001455,train,35.9616813659668
f001460,train,36.77164077758789
f001465,train,36.8017463684082
f001475,train,36.92969512939453
f001480,train,37.05810546875
f001485,train,36.2230339050293
f001490,train,36.333282470703125
f001495,train,35.947444915771484
f001500,train,34.400550842285156
f001505,train,34.84664535522461
f001515,train,34.704952239990234
f001520,train,35.171871185302734
f001525,train,34.00638961791992
f001530,train,34.68171310424805
f001535,train,34.86781692504883
f001540,train,34.40402603149414
f001545,train,34.40345001220703
f001555,train,35.62181091308594
f001560,train,34.56130599975586
f001565,train,36.28472900390625
f001570,train,36.33531188964844
f001575,train,36.1458625793457
f001580,train,36.402400970458984
f001585,train,36.19237518310547
f001595,train,34.82362365722656
f001600,train,35.49806213378906
f001605,train,35.5027961730957
f001610,train,35.883262634277344
f001615,train,36.518367767333984
f001620,train,35.578243255615234
f001625,train,35.90902328491211
f001635,train,34.77164840698242
f001640,train,35.282005310058594
f001645,train,35.843177795410156
f001650,train,36.59446716308594
f001655,train,37.19748306274414
f001660,train,37.466400146484375
f001665,train,36.641876220703125
f001675,train,35.5140495300293
f001680,train,36.567256927490234
f001685,train,36.18344497680664
f001690,train,35.74338150024414
f001695,train,34.655235290527344
f001700,train,34.71046829223633
f001705,train,34.670902252197266
f001715,train,34.44513702392578
f001720,train,34.188720703125
f001725,train,35.264442443847656
f001730,train,36.29840087890625
f001735,train,36.70048904418945
f001740,train,36.548828125
f001745,train,36.667083740234375
f001755,train,36.82851028442383
f001760,train,37.231109619140625
f001765,train,37.6003303527832
f001770,train,38.17294692993164
f001775,train,37.99250793457031
f001780,train,38.68665313720703
f001785,train,38.648372650146484
f001795,train,38.62804412841797
f001800,train,38.420616149902344
f001805,train,38.734230041503906
f001810,train,38.801483154296875
f001815,train,38.01259231567383
f001820,train,38.62091827392578
f001825,train,38.96685028076172
f001835,train,36.22711181640625
f001840,train,36.51682662963867
f001845,train,36.83198165893555
f001850,train,36.95781707763672
f001855,train,37.857147216796875
f001860,train,37.602935791015625
f001865,train,37.6070442199707
f001875,train,37.05268096923828
f001880,train,37.461212158203125
f001885,train,37.825618743896484
f001890,train,37.029884338378906
